/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 "/Users/cgerty/Dropbox/Gerty Inter-Dropbox Transfer/Python_Code/python3/AoC_D4-2.py"
magneticdyefinancing 413
topsecretdyesales 479
colorfulbaskettechnology 209
colorfulrampagingflowerdeployment 555
rampagingdyetechnology 249
weaponizedrabbitcustomerservice 360
internationaldyemarketing 347
consumergradebasketcustomerservice 666
rampagingrabbitdepartment 992
militarygradescavengerhuntreacquisition 302
topsecretjellybeanresearch 480
classifiedscavengerhunttechnology 318
weaponizeddyereacquisition 154
radioactivecandyworkshop 421
colorfuleggservices 569
colorfuleggdevelopment 855
weaponizedflowerreceiving 157
topsecretscavengerhuntshipping 901
magneticplasticgrassreceiving 284
projectilechocolatetraining 600
projectilescavengerhuntoperations 262
magneticrabbitmanagement 176
unstabledyelogistics 162
biohazardouseggcontainment 706
fuzzyrabbitcustomerservice 349
unstabledyereacquisition 571
militarygradebasketusertesting 423
colorfulflowersales 920
magneticbasketshipping 918
radioactivebasketoperations 823
radioactivejellybeanlaboratory 594
classifiedflowerdesign 718
topsecretflowerdepartment 955
weaponizedcandycoatingreacquisition 856
consumergradebasketmarketing 560
biohazardousbasketreacquisition 323
corrosivecandyreacquisition 783
projectilescavengerhuntreceiving 838
unstablebunnylogistics 285
cryogenicbasketresearch 778
unstablefloweranalysis 380
weaponizeddyeshipping 437
fuzzydyecontainment 835
rampagingcandycoatingshipping 561
magneticplasticgrassacquisition 737
cryogenicegganalysis 329
corrosiveflowerdepartment 148
topsecretrabbitdevelopment 558
corrosivescavengerhuntstorage 214
topsecretplasticgrassreacquisition 567
consumergradeflowermarketing 239
biohazardousjellybeanstorage 751
radioactivejellybeanengineering 954
colorfuldyemarketing 610
internationalrabbitdepartment 191
magneticbasketdeployment 328
consumergradedyestorage 668
weaponizeddyeservices 209
projectileplasticgrasstraining 939
classifieddyeoperations 612
classifiedplasticgrassfinancing 542
radioactiveeggreacquisition 817
consumergradecandycoatingshipping 964
projectilejellybeanoperations 505
unstablebunnypurchasing 221
internationalplasticgrasspurchasing 559
rampagingcandycoatingusertesting 388
corrosiveconsumergradecandycoatingreceiving 757
colorfulcandycontainment 966
consumergradeeggsales 512
rampaginginternationalscavengerhuntengineering 229
unstableprojectilerabbitoperations 724
radioactivescavengerhuntresearch 712
radioactivebunnystorage 903
radioactivebasketshipping 818
unstablerabbitresearch 482
projectilescavengerhuntdesign 576
topsecretjellybeanworkshop 522
projectilerabbitengineering 271
militarygradeeggservices 103
corrosivebunnycustomerservice 996
projectileplasticgrasspurchasing 737
internationalbunnyengineering 137
rampagingdyecontainment 758
colorfulscavengerhuntresearch 264
corrosivechocolateresearch 163
cryogenicchocolateusertesting 998
biohazardousweaponizedjellybeanworkshop 410
militarygraderampagingjellybeanmarketing 507
militarygradeplasticgrassmanagement 880
weaponizedcandyanalysis 278
unstablecandycoatingusertesting 635
militarygradedyelaboratory 275
militarygradechocolatereacquisition 712
cryogenicdyemarketing 405
classifieddyedesign 967
classifiedbunnyfinancing 615
classifiedchocolatefinancing 368
projectilechocolateshipping 458
topsecretflowerdesign 343
projectileconsumergradecandycoatingtraining 664
projectilecandyreacquisition 792
corrosivejellybeanreacquisition 649
unstabledyelaboratory 235
weaponizedcandycoatingdepartment 725
internationalscavengerhuntengineering 405
militarygradescavengerhuntanalysis 190
radioactivedyeresearch 899
colorfulbasketcustomerservice 507
fuzzyplasticgrassworkshop 414
magneticplasticgrassoperations 902
militarygradescavengerhuntreceiving 288
rampagingflowertraining 664
radioactivescavengerhuntmanagement 528
consumergradebunnyfinancing 149
unstablebasketservices 307
colorfulcandycustomerservice 448
unstablebasketlaboratory 537
weaponizedchocolatereacquisition 652
classifiedinternationalrabbitlaboratory 490
colorfulbasketshipping 682
cryogenicjellybeantraining 658
cryogeniccandycoatingacquisition 788
topsecretrabbitworkshop 294
unstableplasticgrassreceiving 909
magneticjellybeandepartment 221
colorfuleggshipping 276
corrosivecandycoatingcustomerservice 535
projectilechocolatelogistics 877
colorfulchocolateshipping 381
corrosivedyecustomerservice 826
rampagingcandycoatingstorage 690
magneticrabbitdepartment 300
weaponizedbunnyworkshop 649
classifiedradioactiveeggtechnology 536
colorfuldyemanagement 420
classifiedrabbitsales 585
projectilecandycustomerservice 173
weaponizedcorrosivecandyusertesting 714
biohazardouscandyfinancing 236
northpoleobjectstorage 482
weaponizedplasticgrassshipping 325
rampagingcandyworkshop 814
topsecretbunnycustomerservice 519
cryogenicplasticgrasstechnology 441
rampagingflowerstorage 198
corrosiverabbittraining 275
radioactivecandystorage 308
internationalcandymanagement 559
projectilecandycoatingpurchasing 441
colorfulbasketreceiving 618
radioactivescavengerhuntusertesting 512
unstablecandycoatingtechnology 136
militarygraderabbitlaboratory 904
fuzzycandyoperations 661
colorfulplasticgrassworkshop 561
militarygradeconsumergradebunnyengineering 830
topsecreteggdepartment 454
projectilebasketworkshop 613
magneticeggmarketing 581
magneticcandyoperations 710
consumergradescavengerhuntreacquisition 861
cryogeniccandyfinancing 536
consumergraderampagingcandyacquisition 942
magneticscavengerhuntpurchasing 116
consumergradeeggoperations 321
consumergradeflowerstorage 128
radioactiverabbitsales 376
corrosivebunnydesign 447
projectilescavengerhuntmanagement 396
projectilechocolateengineering 721
projectilecandycoatingcustomerservice 413
militarygradeunstablechocolatedevelopment 374
colorfulchocolateengineering 339
cryogenicdyecontainment 131
rampagingcandycoatingreacquisition 788
weaponizedcandycoatingshipping 609
biohazardousbunnyanalysis 849
biohazardousbunnydesign 622
unstablecandycoatingsales 200
rampagingradioactiveplasticgrassservices 453
corrosivescavengerhunttechnology 365
fuzzyrabbitmarketing 547
internationaljellybeanshipping 154
unstableflowertechnology 226
magneticscavengerhuntacquisition 864
biohazardouscandycoatingtraining 920
weaponizeddyereceiving 568
radioactivedyepurchasing 356
militarygradechocolateacquisition 533
internationalflowerengineering 958
projectilecandymanagement 117
cryogenicchocolateanalysis 766
magneticchocolateusertesting 593
magneticcandycoatingstorage 699
unstablebunnyacquisition 210
rampagingegglogistics 718
biohazardousegglaboratory 224
fuzzybasketcustomerservice 530
corrosivedyeresearch 984
magneticchocolatecustomerservice 345
corrosiveflowerpurchasing 882
weaponizedeggpurchasing 674
unstablebasketcontainment 558
magneticscavengerhuntlaboratory 544
magneticcorrosiveflowerdeployment 256
unstableflowerpurchasing 862
magneticcandydesign 277
classifiedcandycoatingreceiving 522
classifiedcandydesign 835
unstablecorrosivebasketcontainment 924
magneticbunnypurchasing 841
biohazardousbunnycustomerservice 367
rampagingjellybeanusertesting 578
militarygradechocolatetechnology 175
corrosivemilitarygradeeggreacquisition 567
cryogenicjellybeanresearch 503
colorfulrabbitoperations 198
classifiedeggtechnology 175
magneticcolorfulscavengerhuntcontainment 679
classifiedbunnyreceiving 488
unstablecandystorage 123
colorfulbasketreacquisition 293
biohazardouscandycoatingreacquisition 282
weaponizedbasketsales 311
consumergradeplasticgrassreceiving 601
biohazardousbasketfinancing 789
projectilecandyoperations 918
corrosivechocolatestorage 221
cryogeniccandyworkshop 164
internationaleggstorage 497
radioactivejellybeanreceiving 601
corrosivecandycoatingdesign 594
militarygradeconsumergradeeggusertesting 109
militarygradefloweranalysis 369
unstablechocolatereacquisition 835
projectileplasticgrassacquisition 483
topsecretcandymanagement 637
corrosivescavengerhuntusertesting 918
magneticweaponizedcandyresearch 269
consumergradedyemanagement 481
unstablecandytechnology 154
topsecretbunnylaboratory 605
corrosivebunnytraining 157
classifiedchocolateoperations 891
corrosivefuzzydyeengineering 597
projectiledyedesign 110
classifiedcandyoperations 330
cryogenicplasticgrassdesign 934
weaponizedchocolateacquisition 922
consumergraderabbitusertesting 991
internationaldyecustomerservice 463
topsecretcandycoatingmarketing 173
militarygradebunnymarketing 172
radioactiveplasticgrasstraining 327
projectilecandycoatingtechnology 571
consumergradechocolatestorage 599
weaponizedflowerdeployment 549
fuzzyscavengerhuntdesign 115
militarygradechocolatestorage 998
radioactiveplasticgrassreacquisition 369
consumergradeweaponizedscavengerhuntreceiving 852
consumergradeflowershipping 499
internationalrabbitlogistics 511
consumergradejellybeanservices 761
cryogenicplasticgrassoperations 839
magneticrabbitlaboratory 971
militarygradescavengerhuntstorage 201
rampagingradioactiverabbitservices 403
militarygradechocolateusertesting 888
radioactivecandycoatingdeployment 812
biohazardousscavengerhuntengineering 358
rampagingchocolatereacquisition 911
classifiedjellybeanpurchasing 432
magneticeggdepartment 163
cryogeniceggsales 970
classifieddyestorage 119
consumergradeflowerreceiving 918
militarygradeplasticgrassreacquisition 263
weaponizedflowertraining 310
fuzzycandycoatingdeployment 809
biohazardousscavengerhuntreacquisition 388
projectilebasketdesign 632
projectilechocolatesales 607
militarygradebunnyreacquisition 450
fuzzychocolateusertesting 172
fuzzyplasticgrasstraining 844
biohazardousdyecustomerservice 347
unstableconsumergradedyeengineering 382
radioactiverabbitservices 454
unstablescavengerhuntpurchasing 503
weaponizedegglogistics 333
classifiedbasketservices 915
classifiedcandytraining 602
radioactivecandysales 115
unstableegglaboratory 781
colorfulplasticgrasscustomerservice 880
corrosivescavengerhuntengineering 151
colorfulcandyservices 932
projectileplasticgrasslogistics 407
unstablerabbitengineering 571
classifiedcandyreceiving 549
topsecreteggtechnology 221
colorfulcorrosivejellybeanmanagement 497
militarygradebunnytechnology 964
colorfulflowerstorage 314
biohazardousscavengerhuntacquisition 968
topsecretchocolateservices 721
consumergradebasketdeployment 352
corrosivebunnyacquisition 297
cryogenicbunnyfinancing 281
cryogenicbunnyreceiving 166
colorfulflowerfinancing 107
internationalflowerresearch 356
classifiedrabbitdesign 470
weaponizeddyelaboratory 709
consumergraderampagingcandycoatinganalysis 303
internationalrabbitengineering 613
colorfulcandycoatingreceiving 360
unstableplasticgrassshipping 599
unstablerabbitcustomerservice 774
magneticdyeanalysis 167
militarygraderadioactivechocolatecontainment 609
unstablebiohazardousbasketanalysis 672
weaponizedprojectiledyecontainment 533
magneticjellybeanresearch 706
biohazardousdyeengineering 358
fuzzycandycoatingdepartment 496
weaponizedchocolatelogistics 433
weaponizedcandyreceiving 824
projectilerabbittechnology 813
radioactivebasketpurchasing 409
weaponizedmilitarygradebunnydevelopment 470
topsecretclassifiedeggstorage 533
unstabledyereceiving 949
rampagingrabbitsales 179
cryogenicplasticgrassreceiving 918
unstabledyemarketing 123
classifiedbasketdesign 591
militarygradebiohazardousdyecustomerservice 984
cryogenicchocolateoperations 136
radioactivescavengerhuntreacquisition 672
radioactivebasketworkshop 870
biohazardouscandycoatinglaboratory 634
unstablecorrosivejellybeanoperations 591
fuzzydyeusertesting 762
rampagingchocolatedepartment 555
topsecretbunnymanagement 190
biohazardousscavengerhunttraining 518
unstablebasketshipping 399
magneticbunnyreacquisition 322
fuzzycandycoatingresearch 499
projectileplasticgrassresearch 743
internationalflowerlaboratory 570
classifiedbunnydevelopment 789
fuzzycandycoatingfinancing 653
militarygradecandyengineering 366
unstablecandycoatingacquisition 648
topsecretchocolatemarketing 355
projectilefloweroperations 397
consumergradecandyengineering 295
consumergradescavengerhuntmanagement 361
biohazardousplasticgrassengineering 497
topsecretscavengerhuntstorage 844
rampagingcandycoatingcustomerservice 775
weaponizedchocolatetraining 393
corrosivebunnyfinancing 395
projectilechocolatemanagement 201
topsecretplasticgrassdeployment 446
consumergradecandyshipping 164
colorfulrampagingcandysales 738
unstableeggacquisition 814
consumergradescavengerhuntpurchasing 983
internationalbunnyanalysis 994
internationaleggcustomerservice 696
cryogeniccandyreceiving 916
colorfulbunnyacquisition 931
fuzzybasketresearch 809
weaponizedunstablecandycoatingservices 324
unstablescavengerhuntmanagement 323
classifiedeggdepartment 433
radioactiveflowertechnology 488
corrosivedyemanagement 459
magneticdyereceiving 834
magneticplasticgrassmarketing 618
projectilecandycoatingresearch 777
projectilebunnyshipping 670
consumergradechocolatecontainment 704
internationalbasketdepartment 892
topsecretmagneticscavengerhuntcustomerservice 376
topsecretcandycontainment 767
weaponizedbunnyoperations 876
biohazardouscandycoatingpurchasing 716
colorfulplasticgrasstraining 818
fuzzyscavengerhuntdepartment 629
topsecretplasticgrassdevelopment 704
militarygradebunnytraining 675
internationalbasketacquisition 492
projectileclassifiedbasketdeployment 505
topsecretscavengerhuntdesign 217
classifiedeggoperations 917
corrosivedyeanalysis 931
rampagingdyeresearch 144
weaponizedflowerservices 815
magneticchocolateservices 272
radioactivecandydeployment 510
consumergradeeggfinancing 157
internationalcandyanalysis 195
unstablechocolatedesign 191
magneticcandycoatingdeployment 698
rampagingbasketreacquisition 462
rampagingplasticgrasscustomerservice 840
magneticjellybeanmarketing 300
rampagingrabbitlaboratory 957
projectileflowerservices 871
biohazardousclassifiedchocolateusertesting 958
rampagingplasticgrassfinancing 981
weaponizedplasticgrassdeployment 166
cryogenicbasketusertesting 137
radioactivecorrosiveeggdepartment 398
militarygradechocolatedeployment 795
internationalbiohazardousscavengerhuntservices 264
consumergradejellybeanworkshop 736
biohazardouseggtraining 965
unstableclassifiedplasticgrasslogistics 660
topsecretjellybeanservices 457
consumergradebasketlaboratory 451
internationalcandycoatingservices 280
unstablerabbitoperations 682
militarygradecandycoatingreceiving 450
internationalbasketfinancing 653
weaponizedchocolatedepartment 372
fuzzyjellybeananalysis 869
weaponizedscavengerhuntshipping 617
corrosivechocolatedesign 228
topsecretbasketshipping 332
cryogenicjellybeanservices 190
consumergraderabbitlogistics 361
topsecretbunnymarketing 102
corrosiveplasticgrasscustomerservice 410
consumergradeplasticgrasssales 995
classifiedcandycontainment 746
consumergradescavengerhuntusertesting 601
consumergradecandycoatingstorage 973
fuzzyrabbitdesign 803
rampagingbunnydeployment 833
militarygradecandydepartment 678
classifiedcryogenicscavengerhuntacquisition 645
magneticbasketcontainment 352
classifiedplasticgrassanalysis 862
weaponizedplasticgrassworkshop 374
unstablescavengerhuntsales 621
weaponizedscavengerhunttraining 849
topsecretmagneticchocolatedepartment 222
magneticchocolatetechnology 685
rampagingchocolateoperations 340
corrosivejellybeanlogistics 207
consumergraderabbitstorage 123
rampagingflowerdepartment 232
consumergradedyeresearch 117
radioactiveeggworkshop 734
magneticchocolatepurchasing 827
radioactivechocolatecontainment 709
classifiedjellybeanstorage 517
biohazardousbunnydepartment 874
militarygradeflowerdesign 597
weaponizedrabbitlogistics 604
classifiedeggcustomerservice 190
colorfuljellybeanreceiving 192
colorfuljellybeanservices 795
corrosiveeggtraining 679
classifiedchocolatedeployment 202
corrosiveinternationalbunnycustomerservice 599
topsecretcandycoatingcustomerservice 149
topsecretcorrosiveflowertraining 729
unstablecandycoatingfinancing 392
classifiedcandyanalysis 151
radioactiveplasticgrasslogistics 308
militarygradeplasticgrassusertesting 633
rampagingeggdepartment 915
internationalbasketdevelopment 316
unstablefuzzydyeacquisition 719
projectilebunnystorage 633
classifiedradioactivejellybeancontainment 898
colorfulcandycoatingdesign 432
projectileplasticgrassreceiving 431
topsecretrabbitusertesting 222
classifieddyesales 440
unstableegglogistics 980
projectilescavengerhuntlogistics 421
projectilecandycoatingcontainment 402
weaponizedcandyacquisition 607
topsecretbunnydesign 555
militarygraderampagingdyecontainment 627
topsecretcandycoatingdesign 350
topsecretdyedesign 464
classifiedflowershipping 368
rampagingplasticgrassdeployment 746
militarygradejellybeandesign 209
militarygradeweaponizedbasketresearch 822
rampagingflowerworkshop 158
weaponizedflowerstorage 170
rampagingbunnymarketing 789
topsecretconsumergradeplasticgrassfinancing 953
consumergradejellybeanmarketing 348
fuzzycandycoatingreacquisition 149
magneticprojectiledyetraining 989
projectilebasketreacquisition 510
internationalbasketshipping 654
unstableplasticgrassreacquisition 589
internationaljellybeanmanagement 239
topsecretcandycoatingfinancing 362
biohazardouscandyanalysis 913
consumergradeeggtechnology 569
classifiedbunnydeployment 218
fuzzyjellybeanshipping 534
fuzzytopsecretdyefinancing 486
unstableplasticgrasstraining 937
weaponizedcandycoatingstorage 127
militarygradejellybeancontainment 164
radioactivejellybeanworkshop 883
topsecreteggacquisition 919
weaponizedplasticgrassresearch 349
militarygradeunstablecandycustomerservice 531
consumergradechocolatesales 315
colorfulcandyacquisition 336
corrosivebasketservices 383
internationalbiohazardouseggoperations 896
radioactiveflowerreceiving 186
unstableflowermanagement 989
fuzzyeggshipping 430
radioactivedyedevelopment 465
militarygradedyetechnology 981
militarygradebasketcontainment 635
361724

Process finished with exit code 0
